name,owner,url,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
aria2,aria2,https://github.com/aria2/aria2,2010-11-27T09:41:48Z,2026-03-06T01:40:53Z,C++,254,24,1914,826
HEU_KMS_Activator,zbezj,https://github.com/zbezj/HEU_KMS_Activator,2019-06-23T00:49:35Z,2026-03-05T17:52:45Z,None,0,49,194,31
wrk,wg,https://github.com/wg/wrk,2012-03-20T11:12:28Z,2026-03-06T01:00:42Z,C,0,0,407,262
remote-jobs,remoteintech,https://github.com/remoteintech/remote-jobs,2015-10-13T03:49:25Z,2026-03-05T14:43:10Z,Nunjucks,1374,0,202,196
php-src,php,https://github.com/php/php-src,2011-06-16T01:52:25Z,2026-03-06T01:51:13Z,C,4788,42,4931,3990
vim,vim,https://github.com/vim/vim,2015-08-18T21:03:56Z,2026-03-05T20:39:42Z,Vim Script,440,0,9354,7785
bert,google-research,https://github.com/google-research/bert,2018-10-25T22:57:34Z,2026-03-05T20:37:17Z,Python,32,0,1145,355
tidb,pingcap,https://github.com/pingcap/tidb,2015-09-06T04:01:52Z,2026-03-06T01:28:37Z,Go,34623,213,22424,17967
esbuild,evanw,https://github.com/evanw/esbuild,2016-06-14T16:08:50Z,2026-03-06T00:27:13Z,Go,257,309,3858,3313
puter,HeyPuter,https://github.com/HeyPuter/puter,2024-03-03T01:44:32Z,2026-03-05T22:29:04Z,JavaScript,1319,8,1014,848
trpc,trpc,https://github.com/trpc/trpc,2020-07-18T01:17:11Z,2026-03-06T00:39:33Z,TypeScript,3851,230,1339,1191
gorm,go-gorm,https://github.com/go-gorm/gorm,2013-10-25T08:31:38Z,2026-03-05T18:21:43Z,Go,775,11,6095,5609
free,freefq,https://github.com/freefq/free,2020-06-07T02:48:33Z,2026-03-06T00:29:23Z,None,0,0,809,257
video.js,videojs,https://github.com/videojs/video.js,2010-05-14T18:45:10Z,2026-03-05T08:26:57Z,JavaScript,1819,334,5416,4817
Fabric,danielmiessler,https://github.com/danielmiessler/Fabric,2024-01-03T23:18:31Z,2026-03-06T01:44:00Z,Go,599,382,836,814
Deep-Learning-Papers-Reading-Roadmap,floodsung,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,2026-03-05T20:21:11Z,Python,28,0,57,5
FastChat,lm-sys,https://github.com/lm-sys/FastChat,2023-03-19T00:18:02Z,2026-03-05T12:23:09Z,Python,852,14,1926,1067
photoprism,photoprism,https://github.com/photoprism/photoprism,2018-01-27T12:00:15Z,2026-03-06T00:57:15Z,Go,881,80,2487,2054
fiber,gofiber,https://github.com/gofiber/fiber,2020-01-16T03:59:20Z,2026-03-05T23:18:23Z,Go,2113,135,1630,1594
appsmith,appsmithorg,https://github.com/appsmithorg/appsmith,2020-06-30T04:07:36Z,2026-03-05T19:51:03Z,TypeScript,14089,302,23707,19299
faiss,facebookresearch,https://github.com/facebookresearch/faiss,2017-02-07T16:07:05Z,2026-03-05T20:33:12Z,C++,137,24,2726,2499
BMAD-METHOD,bmad-code-org,https://github.com/bmad-code-org/BMAD-METHOD,2025-04-13T14:54:25Z,2026-03-06T01:28:31Z,JavaScript,374,24,815,738
Awesome-Design-Tools,goabstract,https://github.com/goabstract/Awesome-Design-Tools,2019-02-12T13:55:30Z,2026-03-06T01:38:45Z,JavaScript,283,0,49,26
phaser,phaserjs,https://github.com/phaserjs/phaser,2013-04-12T12:27:51Z,2026-03-05T16:03:56Z,JavaScript,1734,173,4601,4512
materialize,Dogfalo,https://github.com/Dogfalo/materialize,2014-09-12T19:35:38Z,2026-03-05T14:51:24Z,JavaScript,449,41,5222,4599
styleguide,google,https://github.com/google/styleguide,2015-05-20T19:18:59Z,2026-03-05T23:58:58Z,HTML,197,0,363,244
shellcheck,koalaman,https://github.com/koalaman/shellcheck,2012-11-17T03:15:11Z,2026-03-05T23:12:08Z,Haskell,331,30,2944,1759
bark,suno-ai,https://github.com/suno-ai/bark,2023-04-07T19:34:48Z,2026-03-06T01:28:26Z,Jupyter Notebook,19,0,477,242
cobalt,imputnet,https://github.com/imputnet/cobalt,2022-07-08T18:12:55Z,2026-03-06T01:01:58Z,Svelte,249,0,1003,807
quivr,QuivrHQ,https://github.com/QuivrHQ/quivr,2023-05-12T23:53:30Z,2026-03-06T01:00:00Z,Python,1824,354,1538,1534
data-engineering-zoomcamp,DataTalksClub,https://github.com/DataTalksClub/data-engineering-zoomcamp,2021-10-21T09:32:50Z,2026-03-05T22:08:48Z,Jupyter Notebook,454,0,141,139
leveldb,google,https://github.com/google/leveldb,2014-08-27T21:17:52Z,2026-03-05T16:29:38Z,C++,64,21,788,540
ChatTTS,2noise,https://github.com/2noise/ChatTTS,2024-05-27T18:26:49Z,2026-03-05T22:47:48Z,Python,220,6,672,614
chatbox,chatboxai,https://github.com/chatboxai/chatbox,2023-03-06T12:22:15Z,2026-03-06T01:38:05Z,TypeScript,0,52,2498,1503
lossless-cut,mifi,https://github.com/mifi/lossless-cut,2016-10-30T10:49:56Z,2026-03-06T01:43:30Z,TypeScript,223,105,1804,1565
remotion,remotion-dev,https://github.com/remotion-dev/remotion,2020-06-23T19:49:10Z,2026-03-06T01:53:23Z,TypeScript,4193,596,2212,2141
novu,novuhq,https://github.com/novuhq/novu,2021-08-26T15:22:44Z,2026-03-05T16:10:28Z,TypeScript,6877,108,1668,1544
mindsdb,mindsdb,https://github.com/mindsdb/mindsdb,2018-08-02T17:56:45Z,2026-03-05T23:51:22Z,Python,5779,337,4400,4327
nushell,nushell,https://github.com/nushell/nushell,2019-05-10T16:59:42Z,2026-03-06T01:30:43Z,Rust,8456,117,7025,5559
devdocs,freeCodeCamp,https://github.com/freeCodeCamp/devdocs,2013-10-24T18:16:07Z,2026-03-06T01:32:55Z,Ruby,982,0,1263,1065
impress.js,impress,https://github.com/impress/impress.js,2011-12-28T22:23:19Z,2026-03-05T23:17:59Z,JavaScript,124,15,483,432
agno,agno-agi,https://github.com/agno-agi/agno,2022-05-04T15:23:02Z,2026-03-06T01:53:15Z,Python,2896,172,1970,1696
preact,preactjs,https://github.com/preactjs/preact,2015-09-11T02:40:18Z,2026-03-06T00:27:36Z,JavaScript,1993,240,1928,1868
googletest,google,https://github.com/google/googletest,2015-07-28T15:07:53Z,2026-03-05T18:13:26Z,C++,813,11,2364,1989
Mole,tw93,https://github.com/tw93/Mole,2025-09-23T06:38:40Z,2026-03-06T01:47:33Z,Shell,123,28,345,344
awesome-cursorrules,PatrickJS,https://github.com/PatrickJS/awesome-cursorrules,2024-09-16T15:38:38Z,2026-03-06T01:22:48Z,MDX,70,0,51,8
python-cheatsheet,gto76,https://github.com/gto76/python-cheatsheet,2018-01-25T04:16:53Z,2026-03-05T22:42:56Z,Python,0,0,27,27
