name,owner,url,stargazers,createdAt,updatedAt,primaryLanguage,pullRequests,releases,totalIssues,closedIssues
How-To-Ask-Questions-The-Smart-Way,ryanhanwu,https://github.com/ryanhanwu/How-To-Ask-Questions-The-Smart-Way,34656,2015-03-28T16:52:40Z,2026-03-05T18:28:07Z,JavaScript,98,0,30,20
textual,Textualize,https://github.com/Textualize/textual,34634,2021-04-08T15:24:47Z,2026-03-06T01:23:19Z,Python,2283,212,2351,2156
bulletproof-react,alan2207,https://github.com/alan2207/bulletproof-react,34567,2021-05-30T14:47:16Z,2026-03-05T22:27:47Z,TypeScript,70,0,117,77
framework,laravel,https://github.com/laravel/framework,34556,2013-01-10T21:27:28Z,2026-03-06T02:00:46Z,PHP,17566,911,19156,19104
Real-ESRGAN,xinntao,https://github.com/xinntao/Real-ESRGAN,34526,2021-07-19T03:23:30Z,2026-03-06T02:09:08Z,Python,21,10,752,174
awesome-cto,kuchin,https://github.com/kuchin/awesome-cto,34443,2016-12-16T19:22:18Z,2026-03-06T00:06:43Z,None,18,0,14,14
formik,jaredpalmer,https://github.com/jaredpalmer/formik,34387,2017-06-14T19:50:59Z,2026-03-05T09:46:24Z,TypeScript,836,200,2268,1562
directus,directus,https://github.com/directus/directus,34386,2012-12-12T01:35:36Z,2026-03-06T02:08:46Z,TypeScript,8544,357,9741,9392
LibreChat,danny-avila,https://github.com/danny-avila/LibreChat,34378,2023-02-12T01:06:52Z,2026-03-06T01:29:37Z,TypeScript,2901,80,4180,3942
langextract,google,https://github.com/google/langextract,34349,2025-07-08T20:46:06Z,2026-03-06T00:55:23Z,Python,78,12,180,92
Hyprland,hyprwm,https://github.com/hyprwm/Hyprland,34344,2022-03-16T19:49:13Z,2026-03-06T02:09:35Z,C++,2277,107,7483,7424
gold-miner,xitu,https://github.com/xitu/gold-miner,34344,2015-11-04T03:29:13Z,2026-03-05T15:10:06Z,None,3563,0,5602,5591
node-v0.x-archive,nodejs,https://github.com/nodejs/node-v0.x-archive,34341,2009-05-27T16:29:46Z,2026-03-05T16:52:19Z,None,218,0,6379,6379
mpv,mpv-player,https://github.com/mpv-player/mpv,34321,2012-10-13T08:08:44Z,2026-03-05T22:35:45Z,C,3783,88,10842,9867
poetry,python-poetry,https://github.com/python-poetry/poetry,34302,2018-02-28T15:23:47Z,2026-03-06T02:10:54Z,Python,2425,147,6317,5811
croc,schollz,https://github.com/schollz/croc,34297,2017-10-17T15:20:18Z,2026-03-05T14:25:49Z,Go,283,180,563,561
server,nextcloud,https://github.com/nextcloud/server,34257,2016-06-02T07:44:14Z,2026-03-06T01:55:46Z,PHP,30966,405,20841,18363
awesome-system-design-resources,ashishps1,https://github.com/ashishps1/awesome-system-design-resources,34254,2023-10-25T01:50:42Z,2026-03-06T01:37:31Z,Java,3,0,30,26
TaskMatrix,chenfei-wu,https://github.com/chenfei-wu/TaskMatrix,34238,2023-03-02T09:04:28Z,2026-03-05T22:03:45Z,Python,21,0,357,136
pnpm,pnpm,https://github.com/pnpm/pnpm,34234,2016-01-28T07:40:43Z,2026-03-05T20:44:28Z,TypeScript,3022,1000,5220,3210
claude-cookbooks,anthropics,https://github.com/anthropics/claude-cookbooks,34233,2023-08-15T20:23:51Z,2026-03-06T02:12:33Z,Jupyter Notebook,147,0,131,122
CyberChef,gchq,https://github.com/gchq/CyberChef,34222,2016-11-28T10:34:07Z,2026-03-06T01:41:11Z,JavaScript,555,451,1106,664
12306,testerSunshine,https://github.com/testerSunshine/12306,34186,2017-05-17T12:23:40Z,2026-03-05T16:43:58Z,Python,31,1,690,466
refine,refinedev,https://github.com/refinedev/refine,34181,2021-01-20T12:01:32Z,2026-03-06T01:48:24Z,TypeScript,4653,1000,1726,1715
clipboard.js,zenorocha,https://github.com/zenorocha/clipboard.js,34178,2015-09-18T23:04:55Z,2026-03-05T12:49:59Z,JavaScript,117,42,629,618
detectron2,facebookresearch,https://github.com/facebookresearch/detectron2,34170,2019-09-05T21:30:20Z,2026-03-06T02:05:35Z,Python,0,10,3569,3099
Data-Science-For-Beginners,microsoft,https://github.com/microsoft/Data-Science-For-Beginners,34136,2021-03-03T16:30:15Z,2026-03-06T00:32:39Z,Jupyter Notebook,452,0,136,135
spring-boot-demo,xkcoding,https://github.com/xkcoding/spring-boot-demo,34103,2017-11-10T06:27:29Z,2026-03-05T11:15:34Z,Java,15,0,173,73
JavaScript,TheAlgorithms,https://github.com/TheAlgorithms/JavaScript,34081,2017-07-13T06:12:33Z,2026-03-05T23:10:54Z,JavaScript,798,0,223,202
selenium,SeleniumHQ,https://github.com/SeleniumHQ/selenium,34080,2013-01-14T21:40:56Z,2026-03-06T01:55:39Z,Java,3648,114,11135,11016
react-beautiful-dnd,atlassian,https://github.com/atlassian/react-beautiful-dnd,34048,2017-08-09T03:37:15Z,2026-03-05T20:29:22Z,JavaScript,531,68,1619,1047
anoma,anoma,https://github.com/anoma/anoma,34032,2021-02-02T10:00:16Z,2026-03-06T00:56:31Z,Elixir,897,12,713,630
1Panel,1Panel-dev,https://github.com/1Panel-dev/1Panel,34025,2022-07-19T15:44:52Z,2026-03-06T02:01:44Z,Go,4716,109,6323,5912
zoxide,ajeetdsouza,https://github.com/ajeetdsouza/zoxide,34020,2020-03-05T13:11:40Z,2026-03-06T02:11:46Z,Rust,247,37,719,601
mediapipe,google-ai-edge,https://github.com/google-ai-edge/mediapipe,34001,2019-06-13T19:16:41Z,2026-03-06T02:07:24Z,C++,201,64,5616,5182
AnotherRedisDesktopManager,qishibo,https://github.com/qishibo/AnotherRedisDesktopManager,33998,2019-01-08T06:01:56Z,2026-03-05T18:35:30Z,JavaScript,152,53,1100,936
nps,ehang-io,https://github.com/ehang-io/nps,33938,2018-11-04T13:22:51Z,2026-03-06T01:43:48Z,Go,74,59,1205,697
C-Plus-Plus,TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,33903,2016-07-16T10:19:45Z,2026-03-06T01:41:10Z,C++,705,0,331,323
zxing,zxing,https://github.com/zxing/zxing,33875,2011-10-12T14:07:27Z,2026-03-05T21:39:59Z,Java,345,32,1340,1336
harness,harness,https://github.com/harness/harness,33851,2014-02-07T07:54:44Z,2026-03-05T20:40:48Z,Go,1053,55,2017,1937
Clone-Wars,GorvGoyl,https://github.com/GorvGoyl/Clone-Wars,33851,2020-12-02T11:10:16Z,2026-03-05T15:52:04Z,None,130,0,87,70
